feature,feature_type,bin_order,bin,min_value,max_value,total,goods,bads,bad_rate,dist_good,dist_bad,woe,iv
employment_length,numeric,4,"(8, 10.0]",9.0,10.0,301153,247318,53835,0.17876295437867132,0.3656975347205536,0.3517108465219593,0.03899720459925334,0.0005454417413465454
employment_length,numeric,5,Missing,,,42611,32526,10085,0.23667597568702917,0.048095313788042895,0.06588923187482647,-0.31479028124665265,0.0056013524790185
loan_to_income,numeric,1,"[0.0003, 0.114]",0.0003090094544280424,0.11428571428571428,166312,145863,20449,0.12295564962239645,0.2156809252794277,0.133597486084616,0.4789686735778414,0.039315395993846355
loan_to_income,numeric,2,"(0.114, 0.174]",0.11429224527115835,0.1739150203469207,165429,141567,23862,0.14424314962914603,0.20932864897315218,0.15589476572503724,0.2947242990996185,0.01574826378847152
loan_to_income,numeric,3,"(0.174, 0.238]",0.17391909283801177,0.2375,166156,137597,28559,0.17188064228797034,0.2034584122562262,0.1865804740376826,0.08659897942377844,0.0014616122245034615
loan_to_income,numeric,4,"(0.238, 0.32]",0.23750296878710983,0.31979166666666664,165619,130225,35394,0.2137073644932043,0.1925578114811184,0.2312338307157603,-0.18303302469535374,0.0070789887836921915
loan_to_income,numeric,5,"(0.32, 20,000]",0.3197940503432494,20000.0,165835,121034,44801,0.2701540688033286,0.17896754808936363,0.29269017691483523,-0.4919101390701417,0.05594131416095984
loan_to_income,numeric,6,Missing,,,4,4,0,0.0,6.653920711880798e-06,3.2665220686230956e-06,0.7114804303457902,2.4100678444577356e-06
home_ownership,categorical,1,mortgage,,,410712,343623,67089,0.1633480395021329,0.5080993121314462,0.4383015280890068,0.14776983097488297,0.010314006750372657
home_ownership,categorical,2,other,,,235,189,46,0.19574468085106383,0.0002802044087465178,0.0003037885370458688,-0.08081248947659617,1.9058921200059975e-06
home_ownership,categorical,3,own,,,81609,66095,15514,0.19010158193336518,0.09773219260319507,0.10135757544082004,-0.036423606038098584,0.00013204951621493567
home_ownership,categorical,4,rent,,,336799,266383,70416,0.20907425497106583,0.39388829085661226,0.4600371079331273,-0.15523981229710793,0.010268929946633924
purpose,categorical,1,car,,,8537,7389,1148,0.13447346843153332,0.010926412508114039,0.00750300512177276,0.37587940079145754,0.0012867883170430095
purpose,categorical,2,credit_card,,,191291,161702,29589,0.15468056521216367,0.23909983335723803,0.19330445803282115,0.2126147287904635,0.00973677130445838
purpose,categorical,3,debt_consolidation,,,488331,392250,96081,0.19675384114463346,0.5799973975930693,0.6276882774119369,-0.07902005306429849,0.003768535853969996
purpose,categorical,4,educational,,,423,335,88,0.20803782505910165,0.0004960838211614128,0.00057815929758545,-0.15310452533616425,1.2566126859641754e-05
purpose,categorical,5,home_improvement,,,48509,40484,8025,0.16543321857799584,0.05986201328706175,0.0524295756245427,0.13257128270348012,0.0009853277945338055
purpose,categorical,6,house,,,3574,2829,745,0.20844991606043647,0.004183812733163092,0.004870257133897773,-0.15192376735623153,0.00010428721944020346
purpose,categorical,7,major_purchase,,,16387,13723,2664,0.16256788918044793,0.020292120177969147,0.017406841225044423,0.15336933931684582,0.0004425133267548655
purpose,categorical,8,medical,,,8222,6620,1602,0.1948431038676721,0.009789338116241829,0.010468929654019023,-0.06711794374903038,4.561278660484679e-05
purpose,categorical,9,moving,,,5269,4149,1120,0.2125640539001708,0.0061356179311752084,0.007320084666039511,-0.17651109893649589,0.00020907152502462115
purpose,categorical,10,other,,,41249,33186,8063,0.19547140536740285,0.049070896366537185,0.052677824814466395,-0.0709284684510073,0.0002558339106239877
purpose,categorical,11,renewable_energy,,,561,438,123,0.2192513368983957,0.0006483837722184189,0.0008068098672520121,-0.21860527398981092,3.4632779911954466e-05
purpose,categorical,12,small_business,,,9994,7271,2723,0.2724634780868521,0.010751932952534168,0.01779228075676806,-0.5036791499399812,0.003546076397318339
purpose,categorical,13,vacation,,,4661,3858,803,0.17228062647500536,0.005705333603431628,0.005249163792202362,0.0833326709860737,3.8013848792947796e-05
purpose,categorical,14,wedding,,,2347,2056,291,0.12398806987643801,0.003040823780084785,0.0019043326016515104,0.46799685214591485,0.0005318742939983738
